internalClassReferences,externalClassMaxReferences,numberOfEnviedClasses,parentClassInheritsFromAndroidClass,jdeodorant,jspirit,taco,oracle_smelly
0,0,0,false,false,false,false,false
3,0,0,false,false,false,false,false
0,0,0,false,false,false,true,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
0,0,0,false,false,true,false,false
10,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
10,0,0,false,false,false,false,false
13,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
7,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
2,0,0,false,false,false,false,false
2,0,0,false,false,false,false,false
1,0,0,true,false,false,false,false
2,0,0,true,false,false,false,false
1,0,0,true,false,false,false,false
0,0,0,true,false,false,false,false
0,0,0,true,false,false,false,false
0,0,0,true,false,false,false,false
5,0,0,false,false,false,false,false
1,0,0,false,false,false,true,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
4,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
6,0,0,false,false,false,false,false
4,0,0,true,false,false,false,false
11,0,0,true,false,true,false,false
0,0,0,true,false,false,false,false
0,2,2,true,false,false,false,false
4,0,0,false,false,false,false,false
0,6,1,false,false,false,false,false
8,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
2,0,0,false,false,false,false,false
5,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
4,0,0,false,false,false,true,false
3,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
5,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
2,0,0,false,false,false,false,false
2,0,0,false,false,false,false,false
3,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
1,0,0,false,false,false,false,false
0,1,1,false,false,false,false,false
0,1,1,false,false,false,false,false
0,1,1,false,false,false,false,false
0,1,1,false,false,false,false,false
0,1,1,false,false,false,false,false
0,1,1,false,false,false,false,false
0,1,1,false,false,false,false,false
0,1,1,false,false,false,false,false
0,1,1,false,false,false,false,false
0,1,1,false,false,false,false,false
20,0,0,false,false,false,false,false
3,0,0,false,false,false,false,false
0,0,0,false,false,false,false,false
0,0,0,true,false,false,false,false
0,0,0,true,false,false,true,false
