loc,noa,nom,totalLOCOfInnerClasses,numberOfAnnotatedMethodOverrides,classInheritsFromAndroidClass,decor,jdeodorant,jspirit,oracle_smelly
5,0,1,0,1,false,false,false,false,false
22,3,5,0,1,false,false,false,false,false
3,0,1,0,0,false,false,false,false,false
18,0,4,0,2,false,false,false,false,false
118,13,22,0,1,false,false,false,false,false
29,2,6,0,5,true,false,false,false,false
59,5,11,0,1,false,false,false,false,false
31,4,2,0,1,true,false,false,false,false
248,14,11,23,1,false,false,true,false,false
4,2,0,0,0,false,false,false,false,false
19,0,2,0,1,true,false,false,false,false
23,2,5,0,0,false,false,true,false,false
106,2,3,0,0,false,false,false,false,false
159,3,15,0,0,false,false,false,false,false
147,6,3,0,2,true,false,false,false,false
309,5,8,0,2,true,false,false,false,false
708,5,21,10,0,false,true,false,true,false
10,1,2,0,1,false,false,false,false,false
154,5,3,73,3,true,false,false,false,false
73,4,4,37,3,false,false,false,false,false
7,0,2,0,0,false,false,false,false,false
30,4,2,0,1,false,false,false,false,false
19,1,4,0,2,false,false,false,false,false
25,1,4,0,2,false,false,false,false,false
64,0,4,0,1,true,false,false,false,false
550,51,28,144,7,true,true,false,true,false
18,2,2,0,0,true,false,false,false,false
68,0,1,0,0,true,false,false,false,false
26,1,1,0,0,true,false,false,false,false
10,1,2,0,0,false,false,false,false,false
11,0,2,0,0,false,false,false,false,false
11,0,2,0,0,false,false,false,false,false
57,5,7,0,1,true,false,true,false,false
31,0,4,0,0,true,false,false,false,false
21,0,5,0,2,true,false,false,false,false
14,0,3,0,2,false,false,false,false,false
149,8,18,7,0,true,false,false,false,false
7,0,1,0,0,false,false,false,false,false
39,4,4,0,0,true,false,false,false,false
14,0,1,0,0,true,false,false,false,false
71,8,6,0,2,false,false,true,false,false
79,4,9,0,4,true,false,false,false,false
8,0,1,0,0,true,false,false,false,false
41,0,5,0,1,true,false,false,false,false
71,5,8,0,2,true,false,true,false,false
55,1,3,0,1,true,false,false,false,false
