locOfLargestCodeBlock,classInheritsFromAndroidClass,decor,jdeodorant,taco,oracle_smelly
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
4,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,true,false,false,false,false
0,true,false,false,false,false
0,true,false,false,false,false
0,true,false,false,false,false
0,true,false,false,false,false
0,true,false,false,false,false
5,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,true,false,false,false,false
5,true,false,false,false,false
0,true,false,false,false,false
6,true,false,false,false,false
0,false,false,false,false,false
18,false,false,false,false,false
3,false,false,false,false,false
11,false,false,false,true,false
3,false,false,false,false,false
9,false,false,false,true,false
4,false,false,false,false,false
10,false,false,false,false,false
33,false,false,false,false,false
5,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
8,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
3,false,false,false,false,false
3,false,false,false,false,false
6,false,false,false,false,false
6,false,false,false,false,false
0,false,false,false,false,false
6,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
0,false,false,false,false,false
3,false,false,false,false,false
0,false,false,false,false,false
11,false,false,false,false,false
4,false,false,false,false,false
